atleta_id,apelido,rodada_id,ano,clube_id,clube,posicao_id,posicao,jogos_num,pontos_num,media_num,preco_num_anterior,preco_num,variacao_num,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,status_id,status
88065,Jorge,33,2015,262,Flamengo,2,lat,19,-2.1,3.86,3.9100000000000006,4.48,-0.57,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,NA
88065,Jorge,34,2015,262,Flamengo,2,lat,20,11.6,4.25,9.3,6.89,2.41,1,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,35,2015,262,Flamengo,2,lat,21,2.3,4.16,3.9699999999999998,5.43,-1.46,1,2,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,NA
88065,Jorge,36,2015,262,Flamengo,2,lat,21,0,4.16,5.43,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
88065,Jorge,37,2015,262,Flamengo,2,lat,22,7.2,4.3,7.23,6.33,0.9,1,1,0,0,0,1,0,0,0,4,1,0,0,0,0,0,0,0,0,NA
37633,Lúcio Flávio,10,2015,294,Coritiba,4,mei,3,-2.1,-1.13,2.27,2.87,-0.6,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,NA
37633,Lúcio Flávio,11,2015,294,Coritiba,4,mei,4,1.8,-0.4,4.13,3.5,0.63,1,11,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,NA
37633,Lúcio Flávio,12,2015,294,Coritiba,4,mei,5,0.2,-0.28,2.84,3.17,-0.33,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
37633,Lúcio Flávio,13,2015,294,Coritiba,4,mei,6,0.5,-0.15,3.21,3.19,0.02,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
37633,Lúcio Flávio,14,2015,294,Coritiba,4,mei,7,-0.4,-0.19,2.75,2.97,-0.22,2,6,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,NA
37633,Lúcio Flávio,15,2015,294,Coritiba,4,mei,7,0,-0.19,2.97,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
37633,Lúcio Flávio,16,2015,294,Coritiba,4,mei,8,5.2,0.48,5.1499999999999995,4.06,1.09,4,4,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
